year,city,n
2003,Manisa,0
2003,Mardin,387
2003,Mersin,110
2003,Mugla,288
2003,Mus,0
2003,Nevsehir,0
2003,Nigde,0
2003,Ordu,0
2003,Osmaniye,0
2003,Rize,0
2003,Sakarya,0
2003,Samsun,991
2003,Sanliurfa,0
2003,Siirt,0
2003,Sinop,0
2003,Sirnak,0
2003,Sivas,375
2003,Tekirdag,0
2003,Tokat,36
2003,Trabzon,150
2003,Tunceli,0
2003,Usak,0
2003,Van,1162
2003,Yalova,0
2003,Yozgat,0
2003,Zonguldak,112
2004,Adana,1347
2004,Adiyaman,0
2004,Afyonkarahisar,0
2004,Agri,0
2004,Aksaray,0
2004,Amasya,0
2004,Ankara,6917
2004,Antalya,839
2004,Ardahan,0
2004,Artvin,0
2004,Aydin,210
2004,Balikesir,0
2004,Bartin,0
2004,Batman,0
2004,Bayburt,0
2004,Bilecik,0
2004,Bingol,0
2004,Bitlis,0
2004,Bolu,0
2004,Burdur,0
2004,Bursa,2877
2004,Canakkale,0
2004,Cankiri,0
2004,Corum,412
2004,Denizli,0
2004,Diyarbakir,373
2004,Duzce,0
2004,Edirne,0
2004,Elazig,350
2004,Erzincan,0
2004,Erzurum,247
2004,Eskisehir,200
2004,Gaziantep,0
2004,Giresun,178
2004,Gumushane,370
2004,Hakkari,350
2004,Hatay,147
2004,Igdir,0
2004,Isparta,0
2004,Istanbul,11944
2004,Izmir,2815
2004,Kahramanmaras,0
2004,Karabuk,0
2004,Karaman,0
2004,Kars,311
2004,Kastamonu,0
2004,Kayseri,536
2004,Kilis,0
2004,Kirikkale,0
2004,Kirklareli,0
2004,Kirsehir,0
2004,Kocaeli,380
2004,Konya,427
2004,Kutahya,0
2004,Malatya,0
2004,Manisa,0
2004,Mardin,0
2004,Mersin,110
2004,Mugla,0
2004,Mus,550
2004,Nevsehir,0
2004,Nigde,0
2004,Ordu,209
2004,Osmaniye,0
2004,Rize,0
2004,Sakarya,0
2004,Samsun,1203
2004,Sanliurfa,350
2004,Siirt,0
2004,Sinop,270
2004,Sirnak,0
2004,Sivas,344
2004,Tekirdag,0
2004,Tokat,40
2004,Trabzon,525
2004,Tunceli,0
2004,Usak,0
2004,Van,1925
2004,Yalova,0
2004,Yozgat,0
2004,Zonguldak,0
2005,Adana,1327
2005,Adiyaman,0
2005,Afyonkarahisar,0
2005,Agri,0
2005,Aksaray,0
2005,Amasya,0
2005,Ankara,7635
2005,Antalya,1088
2005,Ardahan,0
2005,Artvin,0
2005,Aydin,210
2005,Balikesir,0
2005,Bartin,0
2005,Batman,0
2005,Bayburt,0
2005,Bilecik,0
2005,Bingol,0
2005,Bitlis,425
2005,Bolu,0
2005,Burdur,0
2005,Bursa,5410
2005,Canakkale,0
2005,Cankiri,0
2005,Corum,400
2005,Denizli,0
2005,Diyarbakir,707
2005,Duzce,0
2005,Edirne,0
2005,Elazig,0
2005,Erzincan,0
2005,Erzurum,247
2005,Eskisehir,200
2005,Gaziantep,0
2005,Giresun,178
2005,Gumushane,350
2005,Hakkari,350
2005,Hatay,280
2005,Igdir,0
2005,Isparta,0
2005,Istanbul,9284
2005,Izmir,7652
2005,Kahramanmaras,0
2005,Karabuk,0
2005,Karaman,0
2005,Kars,311
2005,Kastamonu,0
2005,Kayseri,762
2005,Kilis,0
2005,Kirikkale,0
2005,Kirklareli,0
2005,Kirsehir,0
2005,Kocaeli,1220
2005,Konya,427
2005,Kutahya,0
2005,Malatya,0
2005,Manisa,0
2005,Mardin,0
2005,Mersin,260
2005,Mugla,0
2005,Mus,510
2005,Nevsehir,0
2005,Nigde,0
2005,Ordu,209
2005,Osmaniye,0
2005,Rize,0
2005,Sakarya,0
2005,Samsun,1308
2005,Sanliurfa,317
2005,Siirt,0
2005,Sinop,270
2005,Sirnak,0
2005,Sivas,344
2005,Tekirdag,271
2005,Tokat,36
2005,Trabzon,498
2005,Tunceli,0
2005,Usak,0
2005,Van,3952
2005,Yalova,0
2005,Yozgat,0
2005,Zonguldak,0
2006,Adana,1347
2006,Adiyaman,0
2006,Afyonkarahisar,0
2006,Agri,0
2006,Aksaray,0
