type,year,city,n
Yerli,2006,Kutahya,0
Yerli,2006,Malatya,0
Yerli,2006,Manisa,0
Yerli,2006,Mardin,0
Yerli,2006,Mersin,263
Yerli,2006,Mugla,0
Yerli,2006,Mus,29
Yerli,2006,Nevsehir,0
Yerli,2006,Nigde,0
Yerli,2006,Ordu,120
Yerli,2006,Osmaniye,0
Yerli,2006,Rize,0
Yerli,2006,Sakarya,0
Yerli,2006,Samsun,345
Yerli,2006,Sanliurfa,30
Yerli,2006,Siirt,0
Yerli,2006,Sinop,120
Yerli,2006,Sirnak,0
Yerli,2006,Sivas,104
Yerli,2006,Tekirdag,0
Yerli,2006,Tokat,70
Yerli,2006,Trabzon,119
Yerli,2006,Tunceli,0
Yerli,2006,Usak,0
Yerli,2006,Van,142
Yerli,2006,Yalova,0
Yerli,2006,Yozgat,0
Yerli,2006,Zonguldak,0
Yerli,2007,Adana,602
Yerli,2007,Adiyaman,0
Yerli,2007,Afyonkarahisar,0
Yerli,2007,Agri,0
Yerli,2007,Aksaray,0
Yerli,2007,Amasya,0
Yerli,2007,Ankara,2405
Yerli,2007,Antalya,247
Yerli,2007,Ardahan,0
Yerli,2007,Artvin,0
Yerli,2007,Aydin,56
Yerli,2007,Balikesir,0
Yerli,2007,Bartin,0
Yerli,2007,Batman,0
Yerli,2007,Bayburt,0
Yerli,2007,Bilecik,0
Yerli,2007,Bingol,0
Yerli,2007,Bitlis,19
Yerli,2007,Bolu,0
Yerli,2007,Burdur,0
Yerli,2007,Bursa,269
Yerli,2007,Canakkale,0
Yerli,2007,Cankiri,0
Yerli,2007,Corum,0
Yerli,2007,Denizli,0
Yerli,2007,Diyarbakir,201
Yerli,2007,Duzce,0
Yerli,2007,Edirne,0
Yerli,2007,Elazig,0
Yerli,2007,Erzincan,6
Yerli,2007,Erzurum,188
Yerli,2007,Eskisehir,39
Yerli,2007,Gaziantep,0
Yerli,2007,Giresun,30
Yerli,2007,Gumushane,0
Yerli,2007,Hakkari,28
Yerli,2007,Hatay,19
Yerli,2007,Igdir,0
Yerli,2007,Isparta,0
Yerli,2007,Istanbul,1442
Yerli,2007,Izmir,686
Yerli,2007,Kahramanmaras,0
Yerli,2007,Karabuk,0
Yerli,2007,Karaman,0
Yerli,2007,Kars,210
Yerli,2007,Kastamonu,0
Yerli,2007,Kayseri,0
Yerli,2007,Kilis,0
Yerli,2007,Kirikkale,0
