type,year,city,n
Yerli,2002,Karabuk,0
Yerli,2002,Karaman,0
Yerli,2002,Kars,0
Yerli,2002,Kastamonu,0
Yerli,2002,Kayseri,16
Yerli,2002,Kilis,0
Yerli,2002,Kirikkale,0
Yerli,2002,Kirklareli,0
Yerli,2002,Kirsehir,0
Yerli,2002,Kocaeli,0
Yerli,2002,Konya,3
Yerli,2002,Kutahya,0
Yerli,2002,Malatya,0
Yerli,2002,Manisa,0
Yerli,2002,Mardin,0
Yerli,2002,Mersin,6
Yerli,2002,Mugla,2
Yerli,2002,Mus,0
Yerli,2002,Nevsehir,0
Yerli,2002,Nigde,0
Yerli,2002,Ordu,0
Yerli,2002,Osmaniye,0
Yerli,2002,Rize,0
Yerli,2002,Sakarya,0
Yerli,2002,Samsun,9
Yerli,2002,Sanliurfa,0
Yerli,2002,Siirt,0
Yerli,2002,Sinop,0
Yerli,2002,Sirnak,0
Yerli,2002,Sivas,9
Yerli,2002,Tekirdag,0
Yerli,2002,Tokat,3
Yerli,2002,Trabzon,5
Yerli,2002,Tunceli,0
Yerli,2002,Usak,0
Yerli,2002,Van,3
Yerli,2002,Yalova,0
Yerli,2002,Yozgat,0
Yerli,2002,Zonguldak,1
Yerli,2003,Adana,14
Yerli,2003,Adiyaman,0
Yerli,2003,Afyonkarahisar,0
Yerli,2003,Agri,0
Yerli,2003,Aksaray,0
Yerli,2003,Amasya,0
Yerli,2003,Ankara,65
Yerli,2003,Antalya,8
Yerli,2003,Ardahan,0
Yerli,2003,Artvin,0
Yerli,2003,Aydin,1
Yerli,2003,Balikesir,0
Yerli,2003,Bartin,0
Yerli,2003,Batman,0
Yerli,2003,Bayburt,0
Yerli,2003,Bilecik,0
Yerli,2003,Bingol,0
Yerli,2003,Bitlis,0
Yerli,2003,Bolu,0
Yerli,2003,Burdur,0
Yerli,2003,Bursa,11
Yerli,2003,Canakkale,0
Yerli,2003,Cankiri,0
Yerli,2003,Corum,0
Yerli,2003,Denizli,0
Yerli,2003,Diyarbakir,4
Yerli,2003,Duzce,0
Yerli,2003,Edirne,0
Yerli,2003,Elazig,1
Yerli,2003,Erzincan,0
Yerli,2003,Erzurum,8
Yerli,2003,Eskisehir,0
Yerli,2003,Gaziantep,0
Yerli,2003,Giresun,4
Yerli,2003,Gumushane,0
Yerli,2003,Hakkari,0
Yerli,2003,Hatay,0
Yerli,2003,Igdir,0
Yerli,2003,Isparta,3
Yerli,2003,Istanbul,333
Yerli,2003,Izmir,59
Yerli,2003,Kahramanmaras,0
Yerli,2003,Karabuk,0
Yerli,2003,Karaman,0
Yerli,2003,Kars,3
Yerli,2003,Kastamonu,0
Yerli,2003,Kayseri,20
Yerli,2003,Kilis,0
Yerli,2003,Kirikkale,0
Yerli,2003,Kirklareli,0
Yerli,2003,Kirsehir,0
Yerli,2003,Kocaeli,2
Yerli,2003,Konya,10
Yerli,2003,Kutahya,0
Yerli,2003,Malatya,0
Yerli,2003,Manisa,0
Yerli,2003,Mardin,7
Yerli,2003,Mersin,3
Yerli,2003,Mugla,2
Yerli,2003,Mus,0
Yerli,2003,Nevsehir,0
Yerli,2003,Nigde,0
Yerli,2003,Ordu,0
Yerli,2003,Osmaniye,0
Yerli,2003,Rize,0
Yerli,2003,Sakarya,0
Yerli,2003,Samsun,19
Yerli,2003,Sanliurfa,0
Yerli,2003,Siirt,0
Yerli,2003,Sinop,0
Yerli,2003,Sirnak,0
Yerli,2003,Sivas,2
Yerli,2003,Tekirdag,0
Yerli,2003,Tokat,2
Yerli,2003,Trabzon,25
Yerli,2003,Tunceli,0
Yerli,2003,Usak,0
Yerli,2003,Van,19
Yerli,2003,Yalova,0
Yerli,2003,Yozgat,0
Yerli,2003,Zonguldak,7
Yerli,2004,Adana,26
Yerli,2004,Adiyaman,0
Yerli,2004,Afyonkarahisar,0
Yerli,2004,Agri,0
Yerli,2004,Aksaray,0
Yerli,2004,Amasya,0
Yerli,2004,Ankara,117
Yerli,2004,Antalya,10
Yerli,2004,Ardahan,0
Yerli,2004,Artvin,0
Yerli,2004,Aydin,5
Yerli,2004,Balikesir,0
Yerli,2004,Bartin,0
Yerli,2004,Batman,0
Yerli,2004,Bayburt,0
Yerli,2004,Bilecik,0
Yerli,2004,Bingol,0
Yerli,2004,Bitlis,0
Yerli,2004,Bolu,0
Yerli,2004,Burdur,0
Yerli,2004,Bursa,29
Yerli,2004,Canakkale,0
Yerli,2004,Cankiri,0
Yerli,2004,Corum,4
Yerli,2004,Denizli,0
Yerli,2004,Diyarbakir,8
Yerli,2004,Duzce,0
Yerli,2004,Edirne,0
Yerli,2004,Elazig,1
Yerli,2004,Erzincan,0
Yerli,2004,Erzurum,3
Yerli,2004,Eskisehir,2
Yerli,2004,Gaziantep,0
Yerli,2004,Giresun,2
Yerli,2004,Gumushane,1
Yerli,2004,Hakkari,1
Yerli,2004,Hatay,0
Yerli,2004,Igdir,0
Yerli,2004,Isparta,0
Yerli,2004,Istanbul,257
Yerli,2004,Izmir,30
Yerli,2004,Kahramanmaras,0
Yerli,2004,Karabuk,0
Yerli,2004,Karaman,0
Yerli,2004,Kars,2
Yerli,2004,Kastamonu,0
Yerli,2004,Kayseri,12
Yerli,2004,Kilis,0
Yerli,2004,Kirikkale,0
Yerli,2004,Kirklareli,0
Yerli,2004,Kirsehir,0
Yerli,2004,Kocaeli,4
Yerli,2004,Konya,7
Yerli,2004,Kutahya,0
Yerli,2004,Malatya,0
Yerli,2004,Manisa,0
Yerli,2004,Mardin,0
Yerli,2004,Mersin,5
Yerli,2004,Mugla,0
Yerli,2004,Mus,6
Yerli,2004,Nevsehir,0
Yerli,2004,Nigde,0
Yerli,2004,Ordu,9
Yerli,2004,Osmaniye,0
Yerli,2004,Rize,0
Yerli,2004,Sakarya,0
Yerli,2004,Samsun,58
Yerli,2004,Sanliurfa,10
Yerli,2004,Siirt,0
Yerli,2004,Sinop,8
Yerli,2004,Sirnak,0
Yerli,2004,Sivas,5
Yerli,2004,Tekirdag,0
Yerli,2004,Tokat,1
Yerli,2004,Trabzon,18
Yerli,2004,Tunceli,0
Yerli,2004,Usak,0
Yerli,2004,Van,33
Yerli,2004,Yalova,0
Yerli,2004,Yozgat,0
Yerli,2004,Zonguldak,0
Yerli,2005,Adana,209
Yerli,2005,Adiyaman,0
Yerli,2005,Afyonkarahisar,0
Yerli,2005,Agri,0
Yerli,2005,Aksaray,0
Yerli,2005,Amasya,0
Yerli,2005,Ankara,128
Yerli,2005,Antalya,9
Yerli,2005,Ardahan,0
Yerli,2005,Artvin,0
Yerli,2005,Aydin,3
Yerli,2005,Balikesir,0
Yerli,2005,Bartin,0
Yerli,2005,Batman,0
Yerli,2005,Bayburt,0
Yerli,2005,Bilecik,0
Yerli,2005,Bingol,0
Yerli,2005,Bitlis,4
Yerli,2005,Bolu,0
Yerli,2005,Burdur,0
Yerli,2005,Bursa,118
Yerli,2005,Canakkale,0
Yerli,2005,Cankiri,0
Yerli,2005,Corum,12
Yerli,2005,Denizli,0
Yerli,2005,Diyarbakir,3
Yerli,2005,Duzce,0
Yerli,2005,Edirne,0
Yerli,2005,Elazig,0
Yerli,2005,Erzincan,0
Yerli,2005,Erzurum,3
Yerli,2005,Eskisehir,3
Yerli,2005,Gaziantep,0
Yerli,2005,Giresun,1
Yerli,2005,Gumushane,2
Yerli,2005,Hakkari,1
Yerli,2005,Hatay,5
Yerli,2005,Igdir,0
Yerli,2005,Isparta,0
Yerli,2005,Istanbul,164
Yerli,2005,Izmir,41
Yerli,2005,Kahramanmaras,0
Yerli,2005,Karabuk,0
Yerli,2005,Karaman,0
Yerli,2005,Kars,2
Yerli,2005,Kastamonu,0
Yerli,2005,Kayseri,36
Yerli,2005,Kilis,0
Yerli,2005,Kirikkale,0
Yerli,2005,Kirklareli,0
Yerli,2005,Kirsehir,0
Yerli,2005,Kocaeli,76
Yerli,2005,Konya,4
Yerli,2005,Kutahya,0
Yerli,2005,Malatya,0
Yerli,2005,Manisa,0
Yerli,2005,Mardin,0
Yerli,2005,Mersin,13
Yerli,2005,Mugla,0
Yerli,2005,Mus,13
Yerli,2005,Nevsehir,0
Yerli,2005,Nigde,0
Yerli,2005,Ordu,2
Yerli,2005,Osmaniye,0
Yerli,2005,Rize,0
Yerli,2005,Sakarya,0
Yerli,2005,Samsun,7
Yerli,2005,Sanliurfa,8
Yerli,2005,Siirt,0
Yerli,2005,Sinop,8
Yerli,2005,Sirnak,0
Yerli,2005,Sivas,5
Yerli,2005,Tekirdag,100
Yerli,2005,Tokat,1
Yerli,2005,Trabzon,2
Yerli,2005,Tunceli,0
Yerli,2005,Usak,0
Yerli,2005,Van,19
Yerli,2005,Yalova,0
Yerli,2005,Yozgat,0
Yerli,2005,Zonguldak,0
Yerli,2006,Adana,12
Yerli,2006,Adiyaman,0
Yerli,2006,Afyonkarahisar,0
Yerli,2006,Agri,0
Yerli,2006,Aksaray,0
Yerli,2006,Amasya,0
Yerli,2006,Ankara,91
Yerli,2006,Antalya,6
Yerli,2006,Ardahan,0
Yerli,2006,Artvin,0
Yerli,2006,Aydin,4
Yerli,2006,Balikesir,0
Yerli,2006,Bartin,0
Yerli,2006,Batman,0
Yerli,2006,Bayburt,0
Yerli,2006,Bilecik,0
Yerli,2006,Bingol,0
Yerli,2006,Bitlis,7
Yerli,2006,Bolu,0
Yerli,2006,Burdur,0
Yerli,2006,Bursa,36
Yerli,2006,Canakkale,0
Yerli,2006,Cankiri,0
Yerli,2006,Corum,0
Yerli,2006,Denizli,0
Yerli,2006,Diyarbakir,6
Yerli,2006,Duzce,0
Yerli,2006,Edirne,0
Yerli,2006,Elazig,0
Yerli,2006,Erzincan,0
Yerli,2006,Erzurum,1
Yerli,2006,Eskisehir,1
Yerli,2006,Gaziantep,0
Yerli,2006,Giresun,2
Yerli,2006,Gumushane,2
Yerli,2006,Hakkari,5
Yerli,2006,Hatay,17
Yerli,2006,Igdir,0
Yerli,2006,Isparta,0
Yerli,2006,Istanbul,54
Yerli,2006,Izmir,49
Yerli,2006,Kahramanmaras,0
Yerli,2006,Karabuk,0
Yerli,2006,Karaman,0
Yerli,2006,Kars,4
Yerli,2006,Kastamonu,0
Yerli,2006,Kayseri,0
Yerli,2006,Kilis,0
Yerli,2006,Kirikkale,0
Yerli,2006,Kirklareli,0
Yerli,2006,Kirsehir,0
Yerli,2006,Kocaeli,21
Yerli,2006,Konya,5
