type,year,city,n
Yerli,2002,Isparta,900
Yerli,2002,Istanbul,639767
Yerli,2002,Izmir,89241
Yerli,2002,Kahramanmaras,9300
Yerli,2002,Karabuk,0
Yerli,2002,Karaman,0
Yerli,2002,Kars,0
Yerli,2002,Kastamonu,0
Yerli,2002,Kayseri,12611
Yerli,2002,Kilis,0
Yerli,2002,Kirikkale,0
Yerli,2002,Kirklareli,0
Yerli,2002,Kirsehir,0
Yerli,2002,Kocaeli,0
Yerli,2002,Konya,15948
Yerli,2002,Kutahya,0
Yerli,2002,Malatya,0
Yerli,2002,Manisa,0
Yerli,2002,Mardin,0
Yerli,2002,Mersin,11212
Yerli,2002,Mugla,1200
Yerli,2002,Mus,0
Yerli,2002,Nevsehir,0
Yerli,2002,Nigde,0
Yerli,2002,Ordu,0
Yerli,2002,Osmaniye,0
Yerli,2002,Rize,0
Yerli,2002,Sakarya,0
Yerli,2002,Samsun,50400
Yerli,2002,Sanliurfa,0
Yerli,2002,Siirt,0
Yerli,2002,Sinop,0
Yerli,2002,Sirnak,0
Yerli,2002,Sivas,28048
Yerli,2002,Tekirdag,0
Yerli,2002,Tokat,4500
Yerli,2002,Trabzon,19027
Yerli,2002,Tunceli,0
Yerli,2002,Usak,0
Yerli,2002,Van,22058
Yerli,2002,Yalova,0
Yerli,2002,Yozgat,0
Yerli,2002,Zonguldak,3000
Yerli,2003,Adana,129694
Yerli,2003,Adiyaman,0
Yerli,2003,Afyonkarahisar,0
Yerli,2003,Agri,0
Yerli,2003,Aksaray,0
Yerli,2003,Amasya,0
Yerli,2003,Ankara,338025
Yerli,2003,Antalya,34882
Yerli,2003,Ardahan,0
Yerli,2003,Artvin,0
Yerli,2003,Aydin,4250
Yerli,2003,Balikesir,0
Yerli,2003,Bartin,0
Yerli,2003,Batman,0
Yerli,2003,Bayburt,0
Yerli,2003,Bilecik,0
Yerli,2003,Bingol,0
Yerli,2003,Bitlis,0
Yerli,2003,Bolu,0
Yerli,2003,Burdur,0
Yerli,2003,Bursa,52370
Yerli,2003,Canakkale,0
Yerli,2003,Cankiri,0
Yerli,2003,Corum,0
Yerli,2003,Denizli,0
Yerli,2003,Diyarbakir,26075
Yerli,2003,Duzce,0
Yerli,2003,Edirne,0
Yerli,2003,Elazig,600
Yerli,2003,Erzincan,0
Yerli,2003,Erzurum,11567
Yerli,2003,Eskisehir,0
Yerli,2003,Gaziantep,0
Yerli,2003,Giresun,9150
Yerli,2003,Gumushane,0
Yerli,2003,Hakkari,0
Yerli,2003,Hatay,0
Yerli,2003,Igdir,0
Yerli,2003,Isparta,2000
Yerli,2003,Istanbul,813913
Yerli,2003,Izmir,181776
Yerli,2003,Kahramanmaras,0
Yerli,2003,Karabuk,0
Yerli,2003,Karaman,0
Yerli,2003,Kars,9901
Yerli,2003,Kastamonu,0
Yerli,2003,Kayseri,14368
Yerli,2003,Kilis,0
Yerli,2003,Kirikkale,0
Yerli,2003,Kirklareli,0
Yerli,2003,Kirsehir,0
Yerli,2003,Kocaeli,9000
Yerli,2003,Konya,43676
Yerli,2003,Kutahya,0
Yerli,2003,Malatya,0
Yerli,2003,Manisa,0
Yerli,2003,Mardin,25658
Yerli,2003,Mersin,5012
Yerli,2003,Mugla,1200
Yerli,2003,Mus,0
Yerli,2003,Nevsehir,0
Yerli,2003,Nigde,0
Yerli,2003,Ordu,0
Yerli,2003,Osmaniye,0
Yerli,2003,Rize,0
Yerli,2003,Sakarya,0
Yerli,2003,Samsun,49110
Yerli,2003,Sanliurfa,0
Yerli,2003,Siirt,0
Yerli,2003,Sinop,0
Yerli,2003,Sirnak,0
Yerli,2003,Sivas,14041
Yerli,2003,Tekirdag,0
Yerli,2003,Tokat,1800
Yerli,2003,Trabzon,10000
Yerli,2003,Tunceli,0
Yerli,2003,Usak,0
Yerli,2003,Van,19000
Yerli,2003,Yalova,0
Yerli,2003,Yozgat,0
Yerli,2003,Zonguldak,2000
Yerli,2004,Adana,32058
Yerli,2004,Adiyaman,0
Yerli,2004,Afyonkarahisar,0
Yerli,2004,Agri,0
Yerli,2004,Aksaray,0
Yerli,2004,Amasya,0
Yerli,2004,Ankara,418027
Yerli,2004,Antalya,40022
Yerli,2004,Ardahan,0
Yerli,2004,Artvin,0
Yerli,2004,Aydin,9406
Yerli,2004,Balikesir,0
Yerli,2004,Bartin,0
Yerli,2004,Batman,0
Yerli,2004,Bayburt,0
Yerli,2004,Bilecik,0
Yerli,2004,Bingol,0
Yerli,2004,Bitlis,0
Yerli,2004,Bolu,0
Yerli,2004,Burdur,0
Yerli,2004,Bursa,72100
Yerli,2004,Canakkale,0
Yerli,2004,Cankiri,0
Yerli,2004,Corum,4500
