"type","city","year","n"
"","","2013","6.68"
"","","2014","8.56"
"","Kırşehir-40","1995","350760.0"
"","","1996","735000.0"
"","","1997","1279000.0"
"","","1998","793000.0"
"","","1999","872000.0"
"","","2000","2182530.0"
"","","2001","2182530.0"
"","","2002","7250000.0"
"","","2003","7745.0"
"","","2004","8674.4"
"","","2005","9.24"
"","","2006","9.36"
"","","2007","9.51"
"","","2008","8.43"
"","","2009","5.27"
"","","2010","3.47"
"","","2011","2.64"
"","","2012","2.94"
"","","2013","4.22"
"","","2014","5.92"
"","Kocaeli-41","1995","350760.0"
"","","1996","735000.0"
"","","1997","909000.0"
"","","1998","1290000.0"
"","","1999","872000.0"
"","","2000","2250967.0"
"","","2001","2250967.0"
"","","2002","1.3258E7"
"","","2003","10463.0"
"","","2004","11718.56"
"","","2005","13.43"
"","","2006","12.83"
"","","2007","13.03"
"","","2008","5.0"
"","","2009","4.0"
"","","2010","2.5"
"","","2011","10.67"
"","","2012","9.17"
"","Konya-42","1995","350760.0"
"","","1996","735000.0"
"","","1997","883000.0"
"","","1998","793000.0"
"","","1999","872000.0"
"","","2000","2182530.0"
"","","2001","2182530.0"
"","","2002","6168000.0"
"","","2003","7745.0"
"","","2004","8674.4"
"","","2005","9.65"
"","","2006","8.79"
"","","2007","8.93"
"","","2008","8.25"
"","","2009","6.88"
"","","2010","5.12"
"","","2011","7.23"
"","","2012","7.87"
"","","2013","7.23"
"","","2014","7.66"
"","Kütahya-43","1995","350760.0"
"","","1996","735000.0"
"","","1997","1279000.0"
"","","1998","1793000.0"
"","","1999","872000.0"
"","","2000","2917416.0"
"","","2001","2917416.0"
"","","2002","1.0857E7"
"","","2003","8500.0"
"","","2004","9520.0"
"","","2005","9.39"
"","","2006","9.52"
"","","2007","9.68"
"","","2008","6.0"
"","","2009","5.6"
"","","2010","4.96"
"","","2011","4.62"
"","","2012","3.55"
"","","2014","8.25"
"","Malatya-44","1995","350760.0"
"","","1996","735000.0"
"","","1997","947000.0"
"","","1998","547000.0"
"","","1999","872000.0"
"","","2000","2250967.0"
"","","2001","2250967.0"
"","","2002","9594000.0"
"","","2003","7745.0"
"","","2004","8674.4"
"","","2005","9.89"
"","","2006","9.59"
"","","2007","9.75"
"","","2008","5.0"
"","","2009","4.35"
"","","2010","5.53"
"","","2011","4.82"
"","","2012","5.38"
"","","2013","6.83"
"","","2014","8.81"
"","Manisa-45","1995","350760.0"
"","","1996","735000.0"
"","","1997","972000.0"
"","","1998","1030000.0"
"","","1999","872000.0"
"","","2000","1798715.0"
"","","2001","1798715.0"
"","","2002","1.0183E7"
"","","2003","7745.0"
"","","2004","8674.4"
"","","2005","8.56"
"","","2006","8.68"
"","","2007","8.82"
"","","2008","6.99"
"","","2009","4.97"
"","","2010","6.27"
"","","2011","8.25"
"","","2012","9.38"
"","","2013","9.31"
"","","2014","11.61"
"","Mardin-47","1995","350760.0"
"","","1996","735000.0"
"","","1997","912000.0"
"","","1998","1947000.0"
"","","1999","872000.0"
"","","2000","2250967.0"
"","","2001","2250967.0"
"","","2002","9594000.0"
"","","2003","7745.0"
"","","2004","8674.4"
"","","2005","8.69"
"","","2006","8.84"
"","","2007","8.98"
"","","2008","9.0"
"","","2009","12.0"
"","","2012","10.08"
"","","2013","6.57"
"","","2014","6.67"
"","Mersin-33","1995","318210.0"
"","","1996","726000.0"
"","","1997","888000.0"
"","","1998","886000.0"
"","","1999","806000.0"
"","","2000","2359259.0"
"","","2001","2359259.0"
"","","2002","9594000.0"
"","","2003","9758.0"
"","","2004","10928.96"
"","","2005","10.84"
"","","2006","10.95"
"","","2007","11.13"
"","","2008","9.41"
"","","2009","7.77"
"","","2010","7.33"
"","","2011","10.11"
"","","2012","11.71"
"","","2013","10.83"
"","","2014","13.0"
"","Muğla-48","1995","350760.0"
"","","1996","735000.0"
"","","1997","972000.0"
"","","1998","1476000.0"
"","","1999","872000.0"
"","","2000","2250967.0"
"","","2001","2250967.0"
"","","2002","1.0183E7"
"","","2003","7745.0"
"","","2004","8674.4"
"","","2005","8.56"
"","","2006","8.68"
"","","2007","8.82"
"","","2008","3.14"
"","","2009","2.98"
"","","2010","3.81"
"","","2011","6.07"
"","","2012","6.22"
"","","2013","6.5"
"","","2014","8.88"
"","Muş-49","1995","350760.0"
"","","1996","735000.0"
"","","1997","912000.0"
"","","1998","1947000.0"
"","","1999","872000.0"
"","","2000","2250967.0"
"","","2001","2250967.0"
"","","2002","9594000.0"
"","","2003","6083.0"
"","","2004","6812.96"
"","","2005","7.76"
"","","2006","7.53"
"","","2007","7.66"
"","","2008","6.0"
"","","2009","3.83"
"","","2010","3.0"
"","","2011","2.58"
"","","2012","3.36"
"","","2013","4.41"
"","","2014","3.67"
"","Nevşehir-50","1995","350760.0"
"","","1996","735000.0"
"","","1997","883000.0"
"","","1998","793000.0"
"","","1999","872000.0"
"","","2000","2250967.0"
"","","2001","2250967.0"
"","","2002","6168000.0"
"","","2003","8785.0"
"","","2004","9839.2"
"","","2005","10.48"
"","","2006","10.62"
"","","2007","10.79"
"","","2008","8.43"
"","","2009","5.84"
"","","2010","4.98"
"","","2011","9.79"
"","","2012","10.25"
"","","2013","7.75"
"","","2014","7.5"
"","Niğde-51","1995","350760.0"
"","","1996","735000.0"
"","","1997","883000.0"
"","","1998","793000.0"
"","","1999","872000.0"
"","","2000","2250967.0"
"","","2001","2250967.0"
"","","2002","6168000.0"
"","","2003","7745.0"
"","","2004","8674.4"
"","","2005","9.24"
"","","2006","9.36"
"","","2007","9.51"
"","","2008","5.42"
"","","2009","4.5"
"","","2010","2.95"
"","","2011","3.86"
"","","2012","5.47"
"","","2013","7.99"
"","","2014","7.75"
"","Ordu-52","1995","350760.0"
"","","1996","735000.0"
"","","1997","740000.0"
"","","1998","547000.0"
"","","1999","872000.0"
"","","2000","1780864.0"
"","","2001","1780864.0"
"","","2002","5086000.0"
"","","2003","7745.0"
"","","2004","8674.4"
"","","2005","9.68"
"","","2006","10.11"
"","","2007","10.28"
"","","2008","12.5"
"","","2009","6.81"
"","","2010","4.21"
"","","2011","5.11"
"","","2012","5.84"
"","","2013","5.3"
"","","2014","4.76"
"","Osmaniye-80","1997","888000.0"
"","","1998","886000.0"
"","","1999","872000.0"
"","","2000","2403671.0"
"","","2001","2403671.0"
"","","2002","8892000.0"
"","","2003","9758.0"
"","","2004","10928.96"
"","","2005","10.84"
"","","2006","10.95"
"","","2007","11.13"
"","","2008","10.0"
"","","2009","7.09"
"","","2010","4.5"
"","","2011","4.38"
"","","2012","4.58"
"","Rize-53","1995","350760.0"
"","","1996","735000.0"
"","","1997","740000.0"
"","","1998","547000.0"
"","","1999","872000.0"
"","","2000","1780864.0"
"","","2001","1780864.0"
"","","2002","5086000.0"
"","","2003","7745.0"
"","","2004","8674.4"
"","","2005","9.68"
"","","2006","10.11"
"","","2007","10.28"
"","","2008","10.0"
"","","2010","2.71"
"","","2011","10.0"
"","","2012","9.58"
"","","2013","6.64"
"","","2014","6.09"
"","Sakarya-54","1995","458581.0"
"","","1996","602000.0"
"","","1997","1430000.0"
"","","1998","850000.0"
"","","1999","872000.0"
"","","2000","2317010.0"
"","","2001","2317010.0"
"","","2002","1.3258E7"
"","","2003","7745.0"
"","","2004","8674.4"
"","","2005","9.94"
"","","2006","9.49"
"","","2007","9.65"
"","","2008","13.33"
"","","2009","8.29"
"","","2010","5.93"
"","","2011","6.44"
"","","2012","8.1"
"","","2013","9.08"
"","","2014","9.17"
"","Samsun-55","1995","350760.0"
"","","1996","735000.0"
"","","1997","740000.0"
"","","1998","547000.0"
"","","1999","795000.0"
"","","2000","2000000.0"
"","","2001","2000000.0"
"","","2002","5086000.0"
"","","2003","7745.0"
"","","2004","8674.4"
"","","2005","8.62"
"","","2006","9.03"
"","","2007","9.17"
"","","2008","5.67"
"","","2009","3.96"
"","","2010","3.07"
"","","2011","4.53"
"","","2012","5.68"
"","","2013","5.89"
"","","2014","5.63"
"","Şanlıurfa-63","1995","350760.0"
"","","1996","735000.0"
"","","1997","912000.0"
"","","1998","1947000.0"
"","","1999","872000.0"
"","","2000","2250967.0"
"","","2001","2250967.0"
"","","2002","9594000.0"
"","","2003","7745.0"
"","","2004","8674.4"
"","","2005","8.67"
"","","2006","8.82"
"","","2007","8.96"
"","","2008","9.0"
"","","2009","7.93"
"","","2010","7.0"
"","","2011","7.65"
"","","2012","7.03"
"","","2013","5.41"
"","","2014","6.23"
"","Siirt-56","1995","350760.0"
"","","1996","735000.0"
"","","1997","912000.0"
"","","1998","1947000.0"
"","","1999","872000.0"
"","","2000","2250967.0"
"","","2001","2250967.0"
"","","2002","9594000.0"
"","","2003","7745.0"
"","","2004","8674.4"
"","","2005","8.69"
"","","2006","8.84"
"","","2007","8.98"
"","","2008","9.0"
"","","2011","11.58"
"","","2012","9.65"
"","","2013","5.03"
"","","2014","7.04"
"","Sinop-57","1995","350760.0"
"","","1996","735000.0"
"","","1997","740000.0"
"","","1998","547000.0"
"","","1999","872000.0"
"","","2000","2250967.0"
"","","2001","2250967.0"
"","","2002","5086000.0"
"","","2003","7745.0"
"","","2004","8674.4"
"","","2005","8.62"
"","","2006","9.03"
"","","2007","9.17"
"","","2008","8.45"
"","","2009","9.6"
"","","2010","6.01"
"","","2011","12.0"
"","","2012","4.0"
"","Şırnak-73","1996","735000.0"
"","","1999","872000.0"
"","","2000","2250967.0"
"","","2001","2250967.0"
"","","2002","9594000.0"
"","","2003","7745.0"
"","","2004","8674.4"
"","","2005","8.69"
"","","2006","8.84"
"","","2007","8.98"
"","","2008","9.0"
"","","2009","6.25"
"","","2010","4.4"
"","","2011","4.88"
"","","2012","5.0"
"","","2013","6.42"
"","","2014","5.0"
"","Sivas-58","1995","350760.0"
"","","1996","735000.0"
"","","1997","947000.0"
"","","1998","547000.0"
"","","1999","872000.0"
"","","2000","1054285.0"
"","","2001","1054285.0"
"","","2002","7250000.0"
"","","2003","7745.0"
"","","2004","8674.4"
"","","2005","9.24"
"","","2006","9.36"
"","","2007","9.51"
"","","2008","8.17"
"","","2009","7.0"
"","","2010","6.03"
"","","2011","5.26"
"","","2012","4.97"
"","","2013","5.9"
"","","2014","4.63"
"","Tekirdağ-59","1995","337020.0"
"","","1996","750000.0"
"","","1997","1430000.0"
"","","1998","1290000.0"
"","","1999","961000.0"
"","","2000","2772963.0"
"","","2001","2772963.0"
"","","2002","7248000.0"
"","","2003","9051.0"
"","","2004","10137.12"
"","","2005","9.43"
"","","2006","9.17"
"","","2007","9.31"
"","","2008","5.09"
"","","2009","4.64"
"","","2010","3.48"
"","","2011","3.75"
"","","2012","6.54"
"","","2013","6.98"
"","","2014","5.93"
"","Tokat-60","1995","350760.0"
"","","1996","735000.0"
"","","1997","947000.0"
"","","1998","547000.0"
"","","1999","872000.0"
"","","2000","2390081.0"
"","","2001","2390081.0"
"","","2002","7250000.0"
"","","2003","7745.0"
"","","2004","8674.4"
"","","2005","8.62"
"","","2006","9.03"
"","","2007","9.17"
"","","2008","6.86"
"","","2009","4.15"
"","","2010","3.0"
"","","2011","4.43"
"","","2012","4.51"
"","","2013","4.45"
"","","2014","5.1"
"","Trabzon-61","1995","350760.0"
"","","1996","735000.0"
"","","1997","740000.0"
"","","1998","547000.0"
"","","1999","872000.0"
"","","2000","2250967.0"
"","","2001","2250967.0"
"","","2002","5990000.0"
"","","2003","7745.0"
"","","2004","8674.4"
"","","2005","9.68"
"","","2006","10.11"
"","","2007","10.28"
"","","2008","8.87"
"","","2009","6.97"
"","","2010","5.98"
"","","2011","4.98"
"","","2012","7.49"
"","","2013","7.14"
"","","2014","7.13"
"","Tunceli-62","1995","350760.0"
"","","1996","735000.0"
"","","1997","947000.0"
"","","1998","547000.0"
"","","1999","872000.0"
"","","2000","2250967.0"
"","","2001","2250967.0"
"","","2002","9594000.0"
"","","2003","7745.0"
"","","2004","8674.4"
"","","2005","9.89"
"","","2006","9.59"
"","","2007","9.75"
"","","2008","6.0"
"","","2009","6.13"
"","","2010","6.59"
"","","2011","4.9"
"","","2012","5.5"
"","","2013","4.0"
"","","2014","5.0"
"","Uşak-64","1995","350760.0"
"","","1996","735000.0"
"","","1997","1279000.0"
"","","1998","793000.0"
"","","1999","872000.0"
"","","2000","2250967.0"
"","","2001","2250967.0"
"","","2002","9594000.0"
"","","2003","7745.0"
"","","2004","8674.4"
"","","2005","8.56"
"","","2006","8.68"
"","","2007","8.82"
"","","2008","5.84"
"","","2009","4.84"
"","","2010","4.55"
"","","2011","7.46"
"","","2012","9.37"
"","","2013","10.75"
"","","2014","8.08"
"","Van-65","1995","350760.0"
"","","1996","735000.0"
"","","1997","912000.0"
"","","1998","1947000.0"
"","","1999","872000.0"
"","","2000","2250967.0"
"","","2001","2250967.0"
"","","2002","9594000.0"
"","","2003","7745.0"
"","","2004","8674.4"
"","","2005","9.89"
"","","2006","9.59"
"","","2007","9.75"
"","","2008","5.0"
"","","2009","4.95"
"","","2010","4.54"
"","","2011","2.77"
"","","2012","3.01"
"","","2013","2.99"
"","","2014","3.0"
"","Yalova-77","1995","350760.0"
"","","1996","735000.0"
"","","1997","1430000.0"
"","","1998","1290000.0"
"","","1999","872000.0"
"","","2000","2250967.0"
"","","2001","2250967.0"
"","","2002","1.3258E7"
"","","2003","10463.0"
"","","2004","11718.56"
"","","2005","11.72"
"","","2006","11.19"
"","","2007","11.37"
"","","2008","13.33"
"","","2009","10.25"
"","","2010","8.67"
"","","2011","7.04"
"","","2012","13.54"
"","","2013","14.06"
"","","2014","13.92"
"","Yozgat-66","1995","350760.0"
"","","1996","735000.0"
"","","1997","1279000.0"
"","","1998","547000.0"
"","","1999","872000.0"
"","","2000","1750000.0"
"","","2001","1750000.0"
"","","2002","7250000.0"
"","","2003","7745.0"
"","","2004","8674.4"
"","","2005","9.24"
"","","2006","9.36"
"","","2007","9.51"
"","","2008","9.46"
"","","2009","7.4"
"","","2010","5.97"
"","","2011","7.56"
"","","2012","8.18"
"","","2013","6.87"
"","","2014","3.35"
"","Zonguldak-67","1995","350760.0"
"","","1996","735000.0"
"","","1997","740000.0"
"","","1998","547000.0"
"","","1999","872000.0"
"","","2000","2250967.0"
"","","2001","2250967.0"
"","","2002","1.0857E7"
"","","2003","7745.0"
"","","2004","8674.4"
"","","2005","8.62"
"","","2006","9.03"
"","","2007","9.17"
"","","2008","8.45"
"","","2009","10.39"
"","","2010","7.0"
"","","2011","6.0"
"10.12.10.10.00. (Tavuk Etleri, Taze Veya Soğutulmuş, Bütün Halde) - Kilogram","Adana-1","1995","91209.0"
"","","1996","178000.0"
"","","1997","308000.0"
"","","1998","529500.0"
"","","1999","733000.0"
"","","2000","775000.0"
"","","2001","1752500.0"
"","","2002","1858000.0"
"","","2003","2200.0"
"","","2004","2290.0"
"","","2005","2.37"
"","","2006","2.69"
"","","2007","4.0"
"","","2008","3.5"
"","","2009","3.88"
"","","2010","4.64"
"","","2011","4.55"
"","","2012","4.69"
"","Adıyaman-2","1995","91209.0"
"","","1996","166500.0"
"","","1997","400000.0"
"","","1998","558500.0"
"","","1999","665000.0"
"","","2000","1000000.0"
"","","2011","7.21"
"","","2012","7.5"
"","Afyonkarahisar-3","1995","91209.0"
"","","1996","120000.0"
"","","1997","300000.0"
"","","1998","575000.0"
"","","1999","688000.0"
"","","2000","712500.0"
"","","2001","1400000.0"
"","","2002","1400000.0"
"","","2003","2000.0"
"","","2004","2290.0"
"","","2005","2.37"
"","","2006","2.79"
"","","2007","4.5"
"","","2008","4.69"
"","","2009","5.73"
"","","2010","6.18"
"","","2011","4.65"
"","","2012","4.54"
"","Ağrı-4","2011","5.45"
"","","2012","5.39"
"","Aksaray-68","1995","91209.0"
"","","1996","130000.0"
"","","1997","160000.0"
"","","1998","400000.0"
"","","2011","5.52"
"","","2012","5.21"
"","Amasya-5","1995","91209.0"
"","","1996","130000.0"
"","","1997","400000.0"
"","","1998","475000.0"
"","","1999","600000.0"
"","","2011","4.21"
"","","2012","4.15"
"","Ankara-6","1995","91209.0"
"","","1996","127000.0"
"","","1997","335000.0"
"","","1998","606500.0"
"","","1999","748000.0"
"","","2000","1049000.0"
"","","2001","1793750.0"
"","","2002","1913000.0"
"","","2003","1771.0"
"","","2004","2290.0"
"","","2005","2.37"
"","","2006","3.06"
"","","2007","3.71"
"","","2008","3.45"
"","","2009","3.78"
"","","2010","3.54"
"","","2011","4.33"
"","","2012","4.74"
"","Antalya-7","1995","91209.0"
"","","1996","202500.0"
"","","1997","366000.0"
"","","1998","550000.0"
"","","2000","1500000.0"
"","","2011","6.01"
"","","2012","7.1"
"","Ardahan-75","1995","91209.0"
"","","1996","160000.0"
"","","2011","5.97"
"","","2012","5.88"
"","Artvin-8","1995","91209.0"
"","","2011","6.96"
"","","2012","8.92"
"","Aydın-9","1995","91209.0"
"","","1996","137500.0"
"","","1997","340000.0"
"","","1998","541500.0"
"","","1999","735000.0"
"","","2000","1170000.0"
"","","2001","1170000.0"
"","","2002","2100000.0"
"","","2003","2700.0"
"","","2004","2750.0"
"","","2005","2.84"
"","","2006","3.16"
"","","2007","2.0"
"","","2008","3.5"
"","","2009","3.75"
"","","2010","4.13"
"","","2011","5.5"
"","","2012","5.23"
"","Balıkesir-10","1995","91209.0"
"","","1996","109000.0"
"","","1997","278000.0"
"","","1998","527500.0"
"","","1999","550000.0"
"","","2000","1000000.0"
"","","2001","1000000.0"
"","","2002","2000000.0"
"","","2003","2000.0"
"","","2004","2060.0"
"","","2005","2.13"
"","","2006","2.69"
"","","2007","3.6"
"","","2008","3.64"
"","","2009","5.42"
"","","2010","4.82"
"","","2011","6.34"
"","","2012","5.68"
"","Bartın-74","1996","150000.0"
"","","1997","300000.0"
"","","1998","500000.0"
"","","1999","400000.0"
"","","2000","500000.0"
"","","2011","4.76"
"","","2012","5.0"
"","Batman-72","2011","4.77"
"","","2012","4.54"
"","Bayburt-69","1996","160000.0"
"","Bilecik-11","1995","91209.0"
"","","1996","135500.0"
"","","1997","325000.0"
"","","1998","421500.0"
"","","1999","738000.0"
"","","2000","1200000.0"
"","","2001","1200000.0"
"","","2002","1900000.0"
"","","2003","2000.0"
"","","2004","2500.0"
"","","2005","2.58"
"","","2006","2.79"
"","","2007","4.5"
"","","2008","3.75"
"","","2009","2.85"
"","","2010","3.0"
"","","2011","2.63"
"","Bingöl-12","1996","171000.0"
"","Bitlis-13","1996","144000.0"
"","","2011","5.75"
"","","2012","6.25"
"","Bolu-14","1995","91209.0"
"","","1996","170500.0"
"","","1997","256000.0"
"","","1998","577500.0"
"","","1999","785000.0"
"","","2000","1150000.0"
"","","2001","1150000.0"
"","","2002","2516000.0"
"","","2003","2368.0"
"","","2004","2600.0"
"","","2005","2.69"
"","","2006","2.78"
"","","2007","3.89"
"","","2008","3.75"
"","","2009","4.29"
"","","2010","4.54"
"","","2011","5.7"
"","","2012","4.86"
"","Burdur-15","1995","91209.0"
"","","1996","173000.0"
"","","1997","395000.0"
"","","1998","600000.0"
"","","1999","800000.0"
"","","2000","1087500.0"
"","","2001","1087500.0"
"","","2002","2500000.0"
"","","2003","2000.0"
"","","2004","3500.0"
"","","2011","4.64"
"","","2012","4.97"
"","Bursa-16","1995","91209.0"
"","","1996","122000.0"
"","","1997","291000.0"
"","","1998","473500.0"
"","","1999","690000.0"
"","","2000","710000.0"
"","","2001","710000.0"
"","","2002","1554000.0"
"","","2003","2000.0"
"","","2004","2370.0"
"","","2005","2.45"
"","","2006","2.69"
"","","2007","4.5"
"","","2008","3.89"
"","","2009","4.67"
"","","2010","5.38"
"","","2011","5.19"
"","","2012","5.29"
"","Çanakkale-17","1995","91209.0"
"","","1996","181000.0"
"","","1997","350000.0"
"","","1998","536000.0"
"","","1999","717000.0"
"","","2011","5.14"
"","","2012","5.19"
"","Çankırı-18","1995","91209.0"
"","","1996","196000.0"
"","","1997","400000.0"
"","","1998","600000.0"
"","","1999","750000.0"
"","","2000","1200000.0"
"","","2001","1200000.0"
"","","2002","2050000.0"
"","","2003","2600.0"
"","","2005","1.86"
"","","2006","2.36"
"","","2007","3.75"
"","","2008","4.08"
"","","2009","4.43"
"","Çorum-19","1995","91209.0"
"","","1996","185000.0"
"","","1997","300000.0"
"","","1998","650000.0"
"","","1999","900000.0"
"","","2000","950000.0"
"","","2001","950000.0"
"","","2003","800.0"
"","","2004","1800.0"
"","","2005","1.86"
"","","2006","2.1"
"","","2011","4.71"
"","Denizli-20","1995","91209.0"
"","","1996","165500.0"
"","","1997","300000.0"
"","","1998","658500.0"
"","","1999","800000.0"
"","","2000","843000.0"
"","","2011","5.03"
"","","2012","6.08"
"","Diyarbakır-21","1995","91209.0"
"","","1996","202000.0"
"","","1997","251000.0"
"","","1998","475000.0"
"","","1999","800000.0"
"","","2011","5.03"
"","","2012","5.33"
"","Düzce-81","2000","1150000.0"
"","","2011","3.8"
"","","2012","4.11"
"","Edirne-22","1995","91209.0"
"","","1996","150000.0"
"","","1997","205000.0"
"","","2002","2700000.0"
"","","2003","2200.0"
"","","2004","2460.0"
"","","2006","2.71"
"","","2011","4.04"
"","","2012","4.0"
"","Elazığ-23","1995","91209.0"
"","","1996","175000.0"
"","","1997","180000.0"
"","","1998","558500.0"
"","","1999","1100000.0"
"","","2000","925000.0"
"","","2001","925000.0"
"","","2002","2000000.0"
"","","2003","1750.0"
"","","2004","2200.0"
"","","2005","2.27"
"","","2006","2.71"
"","","2007","4.5"
"","","2008","4.8"
"","","2009","5.83"
"","","2010","4.71"
"","","2011","4.88"
"","","2012","5.02"
"","Erzincan-24","1995","91209.0"
"","","1996","182500.0"
"","","1997","490000.0"
"","","1998","612500.0"
"","","1999","1050000.0"
"","","2000","1200000.0"
"","","2002","2300000.0"
"","","2003","2300.0"
"","","2004","2290.0"
"","","2005","2.37"
"","","2006","2.5"
"","","2007","2.3"
"","","2008","4.8"
"","","2009","5.19"
"","","2011","5.91"
"","","2012","7.06"
"","Erzurum-25","1995","91209.0"
"","","1996","199500.0"
"","","1997","300000.0"
"","","1998","633500.0"
"","","1999","850000.0"
"","","2000","1050000.0"
"","","2001","1050000.0"
"","","2002","1524000.0"
"","","2004","1850.0"
"","","2005","1.91"
"","","2006","2.25"
"","","2011","5.77"
"","","2012","6.05"
"","Eskişehir-26","1995","91209.0"
"","","1996","167500.0"
"","","1997","260000.0"
"","","1998","645000.0"
"","","1999","750000.0"
"","","2000","712000.0"
"","","2003","1800.0"
"","","2004","2600.0"
"","","2005","2.69"
"","","2006","2.68"
"","","2007","2.5"
"","","2008","3.42"
"","","2009","4.36"
"","","2010","5.52"
"","","2011","5.56"
"","","2012","5.83"
"","Gaziantep-27","1995","91209.0"
"","","1996","172500.0"
"","","1997","327000.0"
"","","1998","575000.0"
"","","1999","840000.0"
"","","2000","825000.0"
"","","2001","825000.0"
"","","2002","1700000.0"
"","","2003","2000.0"
"","","2007","2.5"
"","","2008","4.8"
"","","2010","5.21"
"","","2011","4.26"
"","Giresun-28","1995","91209.0"
"","","1996","128500.0"
"","","1997","350000.0"
"","","1998","650000.0"
"","","1999","1025000.0"
"","","2000","1400000.0"
"","","2001","1400000.0"
"","","2011","6.89"
"","","2012","5.5"
"","Gümüşhane-29","1995","91209.0"
"","","1996","100000.0"
"","","1999","900000.0"
"","","2001","810000.0"
"","","2011","8.0"
"","","2012","8.0"
"","Hakkari-30","1996","210000.0"
"","","2011","5.5"
"","","2012","6.54"
"","Hatay-31","1995","91209.0"
"","","1996","176000.0"
"","","1997","363000.0"
"","","1998","546000.0"
"","","1999","675000.0"
"","","2000","810000.0"
"","","2001","810000.0"
"","","2002","1900000.0"
"","","2003","1900.0"
"","","2004","1900.0"
"","","2005","1.96"
"","","2006","2.28"
"","","2007","3.5"
"","","2008","3.41"
"","","2009","4.01"
"","","2010","4.4"
"","","2011","4.68"
"","","2012","4.52"
"","Iğdır-76","1995","91209.0"
"","","2011","4.63"
"","","2012","5.58"
"","Isparta-32","1995","91209.0"
"","","1996","166500.0"
"","","1997","400000.0"
"","","1998","577500.0"
"","","1999","1135000.0"
"","","2000","713000.0"
"","","2001","713000.0"
"","","2002","2350000.0"
"","","2003","2250.0"
"","","2004","2300.0"
"","","2005","2.38"
"","","2006","2.63"
"","","2011","5.11"
"","","2012","4.95"
"","İstanbul-34","1995","91209.0"
"","","1996","146500.0"
"","","1997","325000.0"
"","","1998","628500.0"
"","","1999","635000.0"
"","","2000","934500.0"
"","","2001","934500.0"
"","","2007","2.9"
"","","2008","3.64"
"","","2009","3.67"
"","","2010","5.67"
"","","2011","8.0"
"","İzmir-35","1995","91209.0"
"","","1996","124500.0"
"","","1997","295000.0"
"","","1998","453000.0"
"","","1999","610000.0"
"","","2000","789500.0"
"","","2001","789500.0"
"","","2002","1847000.0"
"","","2003","1925.0"
"","","2004","2130.0"
"","","2005","2.2"
"","","2006","2.49"
"","","2007","3.0"
"","","2008","3.21"
"","","2009","4.65"
"","","2010","5.44"
"","","2011","5.33"
"","","2012","5.81"
"","Kahramanmaraş-46","1995","91209.0"
"","","1996","131000.0"
"","","1997","300000.0"
"","","1998","525000.0"
"","","1999","700000.0"
"","","2000","900000.0"
"","","2002","2000000.0"
"","","2003","2000.0"
"","","2004","2290.0"
"","","2011","4.83"
"","","2012","4.99"
"","Karabük-78","1995","91209.0"
"","","2011","10.0"
"","Karaman-70","1995","91209.0"
"","","1996","102500.0"
"","","1997","310000.0"
"","","1998","575000.0"
"","","1999","800000.0"
"","","2000","1100000.0"
"","","2001","1100000.0"
"","","2002","1855000.0"
"","","2003","2050.0"
"","","2011","6.42"
"","","2012","5.17"
"","Kars-36","1996","100000.0"
"","","1997","400000.0"
"","","2004","3000.0"
"","","2011","5.71"
"","","2012","5.92"
"","Kastamonu-37","1995","91209.0"
"","","1996","191500.0"
"","","1997","450000.0"
"","","1998","550000.0"
"","","1999","850000.0"
"","","2000","1150000.0"
"","","2001","1150000.0"
"","","2002","2250000.0"
"","","2011","5.05"
"","","2012","5.29"
"","Kayseri-38","1995","91209.0"
"","","1996","125000.0"
"","","1997","400000.0"
"","","1998","737500.0"
"","","1999","854000.0"
"","","2000","859000.0"
"","","2001","859000.0"
"","","2002","1850000.0"
"","","2004","2150.0"
"","","2005","2.22"
"","","2007","6.0"
"","","2008","3.45"
"","","2009","4.5"
"","","2011","4.86"
"","","2012","5.13"
"","Kilis-79","1995","91209.0"
"","","1996","79500.0"
"","","1997","327000.0"
"","","1999","500000.0"
"","","2000","1000000.0"
"","","2011","4.79"
"","","2012","4.93"
"","Kırıkkale-71","1995","91209.0"
"","","1996","106500.0"
"","","1997","350000.0"
"","","1998","520000.0"
"","","1999","600000.0"
"","","2000","1025000.0"
"","","2011","5.15"
"","","2012","5.82"
"","Kırklareli-39","1995","91209.0"
"","","1996","125000.0"
"","","2011","5.15"
"","","2012","5.74"
"","Kırşehir-40","1995","91209.0"
"","","1996","145000.0"
"","","2011","4.97"
"","","2012","5.35"
"","Kocaeli-41","1995","91209.0"
"","","1996","102500.0"
"","","1997","275000.0"
"","","1998","366500.0"
"","","1999","517000.0"
"","","2000","896000.0"
"","","2001","896000.0"
"","","2002","1697500.0"
"","","2003","2525.0"
"","","2004","2735.0"
"","","2005","2.83"
"","","2006","2.83"
"","","2007","2.9"
"","","2008","2.61"
"","","2009","4.06"
"","","2010","4.29"
"","","2011","5.52"
"","","2012","4.96"
"","Konya-42","1995","91209.0"
"","","1996","144000.0"
"","","1997","325000.0"
"","","1998","418500.0"
"","","1999","610000.0"
"","","2000","713000.0"
"","","2001","713000.0"
"","","2002","2450000.0"
"","","2006","2.71"
"","","2007","3.71"
"","","2008","2.5"
"","","2009","2.66"
"","","2010","3.66"
"","","2011","4.66"
"","","2012","5.48"
"","Kütahya-43","1995","91209.0"
"","","1996","150000.0"
"","","1999","650000.0"
